"Module","File","ApiVersion","Command","Method","Uri","Disposition","OracleCommands"
"Cmdlets","GetMgServicePrincipalFederatedIdentityCredential_List.g.cs","v1.0","Get-MgServicePrincipalFederatedIdentityCredential","GET","/servicePrincipals/{param}/federatedIdentityCredentials","no-oracle",""
"Cmdlets","GetMgServicePrincipalFederatedIdentityCredential.g.cs","v1.0","Get-MgServicePrincipalFederatedIdentityCredential","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalFederatedIdentityCredentialCount.g.cs","v1.0","Get-MgServicePrincipalFederatedIdentityCredentialCount","GET","/servicePrincipals/{param}/federatedIdentityCredentials/$count","no-oracle",""
"Cmdlets","GetMgServicePrincipalHomeRealmDiscoveryPolicy.g.cs","v1.0","Get-MgServicePrincipalHomeRealmDiscoveryPolicy","GET","/servicePrincipals/{param}/homeRealmDiscoveryPolicies","matched","Get-MgServicePrincipalHomeRealmDiscoveryPolicy"
"Cmdlets","GetMgServicePrincipalHomeRealmDiscoveryPolicyByRef.g.cs","v1.0","Get-MgServicePrincipalHomeRealmDiscoveryPolicyByRef","GET","/servicePrincipals/{param}/homeRealmDiscoveryPolicies/$ref","matched","Get-MgServicePrincipalHomeRealmDiscoveryPolicyByRef"
"Cmdlets","GetMgServicePrincipalHomeRealmDiscoveryPolicyCount.g.cs","v1.0","Get-MgServicePrincipalHomeRealmDiscoveryPolicyCount","GET","/servicePrincipals/{param}/homeRealmDiscoveryPolicies/$count","matched","Get-MgServicePrincipalHomeRealmDiscoveryPolicyCount"
"Cmdlets","GetMgServicePrincipalMemberOf_Get.g.cs","v1.0","Get-MgServicePrincipalMemberOf","GET","/servicePrincipals/{param}/memberOf/{param}","matched","Get-MgServicePrincipalMemberOf"
"Cmdlets","GetMgServicePrincipalMemberOf_List.g.cs","v1.0","Get-MgServicePrincipalMemberOf","GET","/servicePrincipals/{param}/memberOf","matched","Get-MgServicePrincipalMemberOf"
"Cmdlets","GetMgServicePrincipalMemberOf.g.cs","v1.0","Get-MgServicePrincipalMemberOf","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalMemberOfAsAdministrativeUnit_Get.g.cs","v1.0","Get-MgServicePrincipalMemberOfAsAdministrativeUnit","GET","/servicePrincipals/{param}/memberOf/{param}/administrativeUnit","matched","Get-MgServicePrincipalMemberOfAsAdministrativeUnit"
"Cmdlets","GetMgServicePrincipalMemberOfAsAdministrativeUnit_List.g.cs","v1.0","Get-MgServicePrincipalMemberOfAsAdministrativeUnit","GET","/servicePrincipals/{param}/memberOf/administrativeUnit","matched","Get-MgServicePrincipalMemberOfAsAdministrativeUnit"
"Cmdlets","GetMgServicePrincipalMemberOfAsAdministrativeUnit.g.cs","v1.0","Get-MgServicePrincipalMemberOfAsAdministrativeUnit","","","dispatcher",""
"Cmdlets","GetMgServicePrincipalMemberOfAsDirectoryRole_Get.g.cs","v1.0","Get-MgServicePrincipalMemberOfAsDirectoryRole","GET","/servicePrincipals/{param}/memberOf/{param}/directoryRole","matched","Get-MgServicePrincipalMemberOfAsDirectoryRole"
"Cmdlets","GetMgServicePrincipalMemberOfAsDirectoryRole_List.g.cs","v1.0","Get-MgServicePrincipalMemberOfAsDirectoryRole","GET","/servicePrincipals/{param}/memberOf/directoryRole","matched","Get-MgServicePrincipalMemberOfAsDirectoryRole"
